,,,,,,,,,,,
"WalkSat (MAXFLIPS=10^6, P=0.5) Time and Flips",,,,,,,,,,,Median
Ratio = 1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00
,17,18,26,28,24,31,30,17,14,16,21
,,,,,,,,,,,
Ratio = 2,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02
,35,33,93,42,43,45,46,50,54,70,46
,,,,,,,,,,,
Ratio = 3,0.02,0.04,0.07,0.10,0.10,0.11,0.11,0.12,0.13,0.14,0.11
,64,67,134,425,182,216,275,240,236,250,226
,,,,,,,,,,,
Ratio = 4,0.08,0.10,0.48,0.86,1.32,1.75,1.75,1.82,2.57,2.59,1.53
,135,275,812,1179,1963,2191,2616,2965,4297,4201,2077
,,,,,,,,,,,
Ratio = 5,445.44,605.66,613.65,635.20,646.59,745.69,758.64,782.03,782.84,826.36,696.14
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 6,437.51,440.88,443.76,480.30,509.97,517.80,531.31,603.63,701.20,712.41,513.88
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 7,483.31,493.89,501.24,511.02,516.52,518.52,593.18,609.95,648.78,654.71,517.52
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 8,559.89,565.58,571.57,577.80,593.04,608.74,612.44,638.43,658.12,689.71,600.89
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 9,581.57,605.64,623.85,624.09,631.63,684.15,691.00,704.45,712.91,753.53,657.89
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 10,1326.02,1329.97,1414.37,1417.67,1461.60,1462.00,1513.86,1641.34,1642.92,799.57,1439.64
,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DPLL (WalkSat Time/DPLL Time),,,,,,,,,,,Median
Ratio = 1,73.176,79.187,62.555,65.092,67.557,62.107,73.106,72.836,85.159,108.647,72.971
,,,,,,,,,,,
Ratio = 2,4745.227,3006.894,3018.875,2830.148,2813.085,2796.622,2749.747,2551.426,2165.534,1826.612,2804.854
,,,,,,,,,,,
Ratio = 3,60.797,35.801,20.383,13.795,13.998,13.185,12.867,12.629,11.905,11.191,13.490
,,,,,,,,,,,
Ratio = 4,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 5,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 6,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 7,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 8,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,
,,,,,,,,,,,
Ratio = 9,0.174,0.307,0.302,0.302,0.304,0.284,0.283,0.280,0.279,0.275,0.284
,,,,,,,,,,,
Ratio = 10,0.048,0.048,0.078,0.101,0.098,0.100,0.097,0.090,0.090,0.192,0.093
